[META]
id:       P.VIND.BOSW 6
r.21   [Φρουρίῳ λιβὸς με]τὰ κουράτορος τοῦ Ἑρμ[είνο]υ τοῦ καὶ Σαπρίωνος [Αὐρηλ]ίου Διοσκόρου τοῦ καὶ Μενχήους, συμπαρόντος ταῖς θηλείαις
r.22   τῇ μὲν Δημητρίᾳ τῇ καὶ Τινούτι τοῦ ἑαυτῆς ἀνδρὸς Αὐρηλίου Ἀπόλλωνος
r.23   [τοῦ καὶ Ἀρείου ][ἐξη]γητεύσαντος καὶ ἀρχιερ[ατεύσαντος][ βουλευτοῦ τ]ῆς αὐτῆς πόλεως, τῇ δ[ὲ Χαρίνᾳ] τῇ καὶ
r.24   Ἀρτε[μι]δ[ώρ]ᾳ Αὐρηλίου Θέωνος Ἑρμείνου, ἐπηκολουθήκαμεν τῇδε τῇ διαγραφῇ καὶ πεπράκαμεν ἀπὸ τοῦ νῦν ἐπὶ τὸν ἀεὶ χρόνον
r.25   [Αὐρηλίῳ Μαξίμῳ τῷ καὶ Ἰκρελλια]νῷ β[ουλευτῇ τῆς αὐτῆς] π[ό]λεως [τὰς ἐπιβα]λλούσας ἡμῖν περὶ Ἀρμῶτνιν ἐκ τοῦ
r.26   Τιμων[ί]δου κλήρου ἀπʼ ἀ[ρο]υρῶν τριῶν ἕκτου ἐν κοιναῖς ἀρούραις ἐννέα ἡμίσει γῆς κατοικικῆς ἀναι[τήτου ἀρούραις τρεῖς ὧν τῷ μὲν Ἀχι]λλι[ανῷ μέρη δύο ἀπομεριστά, τοῖς δὲ] λοιποῖς ἐξ ἴσου τὰ λοιπὰ
r.27   [μ]ερὴ τρία , ἃς παραδώσομεν κατʼ ἀγρὸν σπορίμας πλήρεις τῷ τῆς κατοικίας δικαίῳ σχοινίῳ καθαρὰς ἀπὸ βασιλικῆς
r.28   [καὶ παντὸς ἁπλῶς εἴδους, ὧν γείτονες ] … ἐκ γ ἀνέ[μων ἰδι]ωτικὰ ἐδάφη. τὴν δὲ πρὸς ἀλλήλους συμπεφωνημένην τιμὴν
r.29   ἀργυρίου δραχμὰς χιλίας γίνονται ἀργυρίου δραχμαὶ Α
r.30   [αὐτόθι ἀπεσχήκαμεν ἐκ πλήρους παρὰ τοῦ ὠνουμένου κατά τήνδε τὴν] διαγρ[α]φ[ὴν καὶ εἶναι πε]ρὶ αὐτὸν τὸν ὠνού[με]νον καὶ τοὺς
r.31   παρʼ αὐτοῦ τὴν τούτων κυρείαν καὶ κράτησιν χρωμένους καὶ οἰκονομοῦν[τας περὶ αὐτῶν καθʼ ὃν ἐὰν αἱρῶνται τρόπον ἀπὸ τοῦ νῦν ἐπὶ τὸν ἀεὶ χρόνον. πάντων δὲ τῶν δημοσ]ίων καὶ ἐπιμερισμ[ῶ]ν
r.32   τῶν μὲν ἔνπ[ροσθε]ν χρόνων μεχρὶ τοῦ διελθόντος ϛ ἔτους καὶ αὐτοῦ ϛ ἔτους ὄντων πρὸς ἡμᾶς
r.33   [τοὺς πωλοῦντας, τῶν δὲ ἀπὸ τοῦ ἐνεστῶτος α ἔτους πρὸς σὲ τὸν ὠνούμεν]ον διὰ [τοῦ εἶναι σαυ]τοῦ τὰ τοῦ αὐτοῦ α ἔτους
r.34   ἐκ[φ]όρια καὶ φόρου[ς· τ]ῆς βεβαιώσεως διὰ παντὸς πρὸς πᾶσαν βεβαίωσιν ἐξακολουθούσης
r.35   [ἡμῖν τοῖς πωλοῦσιν, καὶ μὴ ἐπελεύσεσθαι ἡμᾶς μηδὲ ἄλλον ὑπὲρ ἡμῶν ἐ]πὶ τὸν ὠ[νούμενον μ]ηδὲ ἐπὶ τοὺς παρʼ αὐτοῦ περὶ
r.36   μηδενὸς τῆσδε τῆς πράσεως τρόπῳ μηδενί, ἐὰν δὲ ἐπέλθωμεν ἢ μὴ βε[βαιώσωμεν, ἥ τʼ ἔφοδος ἄκυρος ἔστω καὶ προσαποτείσομεν ἢ
r.37   ὁ ὑπὲρ ἡμῶν ἐπε]λευσόμ[ενος τῷ ὠνουμ]ένῳ ἢ τ[οῖς] παρʼ αὐτοῦ τά τε βλάβη καὶ δαπανήματα καὶ ἐπιτίμου ὡς ἴδιον χρέος διπλῆν τὴν τιμὴν καὶ εἰς τὸ
r.38   [δημόσιον τὴν ἴσην καὶ μηδὲν ἧσσον ἡ πρᾶσις κυρία. περὶ δὲ τοῦ ταῦτ]α οὕτω[ς ὀρθῶς καὶ καλ]ῶς γεν[έ]σθαι ἐπερωτηθέντες
r.39   ὡμολογήσαμεν. ἔτους α Αὐτοκράτορος Καίσαρος Γαΐου Μεσσίου Κυίντου Τραϊανοῦ
r.40   [Δεκίου Εὐσεβοῦς Εὐτυχοῦς Σεβαστοῦ Τῦβι κα. Αὐρήλιος Ἀχιλλιανὸς ὁ καὶ Μάξιμος Ἑρμοῦ τοῦ καὶ Μαξίμου πέπρακα κα]ὶ
r.41   ἀπέσχ[ον τὴν τιμὴ]ν καὶ βε[β]αιώσω ὡς πρόκιτ[α]ι. Αὐρ[ή]λιος Ἑρμεῖνος ὁ καὶ Σαπρίων

[TRANSLATION]
1     Year 1 of the Emperor Caesar Gaius Messius Quintus Trajanus Decius Pius Fortunate Augustus, Tybi 21. Bank-order (payment-record)
2     through the bank of the tax-farmers in Hermopolis. Aurelius Maximus also called Ikrellianus, councillor of Hermopolis,
3     to the Aurelii Achillianus also called Maximus
4     [and] Herminus also called Theon and Demetria also called Tinoutis and Charina also called Artemidora, the two (women) transacting business without a guardian
5     by the right of children according to Roman custom, knowing letters — the four, children of Hermes also called Maximus, former gymnasiarch and
6     former high-priest, deceased councillor of Hermopolis, of (the district) Phrourion of the west, with the curator
7     Herminus also called Saprion, (i.e.) Aurelius Dioskoros also called Menches, being present with the females, with Demetria
8     also called Tinoutis her own husband Aurelius Apollon also called Areios, former exegetes and former high-priest, councillor
9     of the same city, and with Charina also called Artemidora, Aurelius Theon son of Herminus, (greeting):
10    that they have sold the (land) belonging to them around Armotnis from the allotment of Timonides, out of 3 6 arouras in a common (holding)
11    of 9½ arouras of catoecic land, free of demand, three arouras, of which to Achillianus two portioned-off parts, to the others three the remaining parts,
12    (namely) 3, which they will hand over in the field, sowable, full,
13    by the right of the catoecic (holding), by (survey-)measure, clear of royal (dues) and of every kind whatsoever, at a price of 1,000 silver drachmas,
14    makes 1,000 silver drachmas, [which] right there they had received according to their shares from the purchaser according to this bank-order,
15    and that the ownership of these (arouras) is to rest with the purchaser himself and his heirs,
16    [and the] possession, using and managing them in whatever manner they choose for all time, upon the
17    subjoined neighbouring-boundaries and the rest … ; and having been formally questioned, they gave their assent. Aurelius Amonion, banker, I have signed.
18    [The Aurelii] Achillianus also called Maximus and Herminus also called Theon and Demetria also called Tinoutis and Charina also called
19    Artemidora, the two transacting business without a guardian by the right of children according to Roman custom, [knowing] letters, the four, children of Hermes also called Maximus, former gymnasiarch and former high-priest, deceased councillor
20    of Hermopolis the great, ancient and illustrious and most venerable, registered in
21    [(the district) Phrourion of the west,] with the curator Herminus also called Saprion, (i.e.) Aurelius Dioskoros also called Menches, being present with the females,
22    with Demetria also called Tinoutis her own husband Aurelius Apollon
23    [also called Areios,] former exegetes and former high-priest, [councillor] of the same city, and with [Charina] also called
24    Artemidora, Aurelius Theon son of Herminus, we have concurred in this bank-order and have sold, from now for all time,
25    [to Aurelius Maximus also called Ikrellia]nus, [councillor of the same] city, [the (land)] falling to us around Armotnis from the
26    allotment of Timonides, out of three and one-sixth arouras in a common (holding) of nine and a half arouras of catoecic land, free of [demand, three arouras, of which to] Achillianus [two portioned-off parts, to the] rest equally the remaining
27    three parts, which we will hand over in the field, sowable, full, by the right of the catoecic (holding), by (survey-)measure, clear of royal (dues)
28    [and of every kind whatsoever, of which the neighbours] … from the 3 winds are private lands. And the price agreed between one another,
29    a thousand silver drachmas, makes 1,000 silver drachmas,
30    [right there we have received in full from the purchaser according to this] bank-order, [and that] the ownership of these (arouras) rests with the purchaser himself and those
31    from him, (they) using and managing [them in whatever manner they choose, from now for all time. And of all the public] (dues) and the surtaxes,
32    those of the earlier times up to the past 6th year and of that same 6th year being upon us,
33    [the sellers, and those from the present 1st year upon you the purchas]er, through the fact that the produce and rents of that same 1st year are your own,
34    and rents; the guarantee following throughout for every guarantee
35    [to us the sellers, and (that) we will not proceed, nor any other on our behalf,] against the purchaser nor against those from him concerning
36    nothing of this sale in any manner; and if we do proceed or do not guarantee, [let the proceeding be void, and we shall further pay, or
37    the one proceeding on our behalf,] to the purchaser or to those from him both the damages and expenses and, as a penalty, as a private debt, the price double, and to the
38    [public (treasury) an equal (sum), and none the less the sale (is) valid. And concerning these things] being thus rightly and well done, having been formally questioned
39    we gave our assent. Year 1 of the Emperor Caesar Gaius Messius Quintus Trajanus
40    [Decius Pius Fortunate Augustus, Tybi 21. Aurelius Achillianus also called Maximus, son of Hermes also called Maximus, I have sold] and
41    have received [the price] and I will guarantee as is aforesaid. Aurelius Herminus also called Saprion.
