[META]
id:       P.Oxy. 19.2243A
r.37   παρὰ κληρονόμων Βίκτορος ἀπὸ οἰνοχειρ[ιστῶν][ διὰ Ἀ]πολλῶ υ[ἱ]ο[ῦ] σίτου καγκέλλῳ ἀρτάβαι ϙδ χοίνικες … νομίσματα ϛ 𐅵 γ μη
r.38   [παρὰ κληρονόμων] Γεροντίου διὰ Ἰωσὴφ [ζυγ]οστάτου σίτου καγκέλλῳ ἀρτάβαι λ 𐅵
r.39   παρὰ Σίων[ος] Ἠλίου μείζονος καὶ Ἰω[άννου ] … ἀπὸ τῆς αὐτῆς κώμης σίτου καγκέλλῳ ἀρτάβαι ιϛ νόμισμα α κδ
r.40   παρὰ Ἰωάννου καὶ Παπνουθίου [ἀπὸ ] … εναιπε σίτου καγκέλλῳ ἀρτάβαι ρκ νομίσματα γ γ
r.41   παρὰ Μου[σ]αίου Ἰσὰκ καὶ κλη[ρονόμων] … [ ἀπὸ] Πτύχεως σίτου καγκέλλῳ ἀρτάβαι ζ νομίσματος 𐅵
r.42   παρὰ τοῦ κοινοῦ τῶν κωμαρχῶν [κώμης ] … μεως νομίσματος γ
r.43   παρὰ κληρονόμων Γεροντίου διὰ [Ἰωσὴφ] ζυγοστάτου νομίσματα κδ
r.44   παρὰ ἄπα Ὠρ Ἰωσὴφ [διὰ ] … [ ἀπὸ τῆς αὐτῆς ][κ]ώμης σίτο[υ] καγκέλλῳ [ἀρτάβαι ] …
r.45   [παρὰ τ]ῶν αὐτῶν κ[ληονόμων][ Γεροντίου διὰ τοῦ αὐ]τοῦ ζυγοστάτου [σ]ί[του καγκέλλῳ ἀρτάβαι ] …
r.46   παρὰ τ[ῶν αὐτ]ῶν [κ]ληρονόμων [Βί]κτορος ὑπὲρ τῆς μεγάλης οὐσία[ς] νομίσματος ϛ
r.47   παρὰ τοῦ κοι[νοῦ][ τ]ῶν [γεω]ργῶν ἀπὸ τῆς αὐτῆς ὑπὲρ φόρου τῶν [γ]ῃδίων
r.48   φ[υτευ]θέντων ἐν ἀμπέλῳ ἐν μηχανῇ Τεπὸτ σὺν ῥοπῇ νομίσματα κδ παρὰ ρη
r.49   παρὰ τοῦ κ[οινοῦ] τῶν γεωργῶν ἐποικίου Σατύρου σίτου καγκέλλῳ ἀρτάβαι σδ
r.50   παρὰ [Ἀ]νοῦπ ἀπὸ τοῦ αὐτοῦ ἐποικίου Σατύρου σίτου καγκέλλῳ ἀρτάβαι ρμ
r.51   παρὰ τῶν γεωργῶν ὑπὲρ μηχανῆς Τῶν Σκυτέων σίτου καγκέλλῳ ἀρτάβαι οβ
r.52   παρὰ τῶν ἀπὸ κτήματος Παλίδου ὑπὲρ μηχανῆς Ἴσιδος σίτου καγκέλλῳ ἀρτάβαι ρλε δ νομίσματα κβ 𐅵 δ
r.53   παρὰ τοῦ πωμαρίτου τοῦ αὐτοῦ κτήματος Παλίδου ὑπὲρ φόρου πωμαρίου
r.54   νομίσματα ζ ἀφʼ ὧν ὑπὲρ ἐνχόρτου τοῦ πωμαρίου ἄρουραι [ι]γ χόρτου
r.55   ἄρουραι θ … συντελείας ὑπὲρ ἑκάστης ἀρούρης νομίσματος 𐅵 κδ μη ϙϛ γίνονται νομίσματα ε η μη ϙϛ
r.56   λοιπὸν νόμισμα α 𐅵 γ ϙϛ, ἐξ ὧν ὑπὲρ μισθοῦ τοῦ πωμαρίου σίτου καγκέλλῳ ἀρτάβαι ζ 𐅵 τῶν
r.57   ἀρταβῶν ιγ 𐅵 νόμισμα α, Ἀλεξανδρείας νομίσματος 𐅵 κδ ϙϛ, τὰ ἰδιωτικῷ νομίσματος 𐅵 ιβ ϙϛ, λοιπὸν
r.58   ὑπὲρ φόρου πωμαρίου νόμισμα α δ γίνεται νόμισμα α δ
r.59   γίνονται λημμάτων τῆς αὐτῆ[ς ἐν]άτη[ς] ἰνδικτίονος σίτου μέτρῳ ἀρτάβαι Βοβ δ χοίνικες η καὶ
r.60   καγκέλλῳ ἀρτάβαι ϡα 𐅵 χοίνικες δ καὶ σὺν ῥοπῇ νομίσματα υοβ 𐅷 η ϙϛ παρὰ κεράτια ρη καὶ ἐκτὸς ῥοπῆς νομίσματα λε κδ ϙϛ καὶ
r.61   ἀργυρίου δηναρίων μυριάδες Αϛ, ἐξ ὧν κουφίζονται [ὑπὲρ] Νήσου Λαχανιᾶς τὰς καὶ ἐνεχθείσας εἰς τὸν
r.62   λόγον Βίκτορος προνοητοῦ Φάκρα σίτου μέτρῳ ἀρτάβαι λδ 𐅵 δ καὶ νομίσματα ϛ δ σὺν τῷ γῃδ[ί]ῳ
r.63   Καρ[υ]οφυλάκων καὶ ὑπὲρ τῶν κήπων Νήσου Λαχανιᾶς νομίσματα λ καὶ ὑπὲρ
r.64   τοῦ κηπίου Παλέκτορος νομίσματα δ, γίνονται τοῦ κουφισμοῦ σίτου καγκέλλῳ ἀρτάβαι λδ 𐅵 δ χοίνικες ε καὶ
r.65   σὺν ῥοπῇ νομίσματα μ 𐅵 δ λοιπὰ λημμάτων θ ἰνδικτίονος σίτου μέτρῳ ἀρτάβαι Βλη, αἳ καγκέλλῳ ἀρτάβαι Βτμγ 𐅵 χοίνικες η καὶ
r.66   ἄλλαι καγκέλλῳ ἀρτάβαι ϡα 𐅵 χοίνικες δ, γίνονται σίτου καγκέλλῳ ἀρτάβαι Γσμε δ χοίνικες β καὶ σὺν ῥοπῇ νομίσματα υλβ κδ μη ϙϛ παρὰ κεράτια ρη
r.67   εἰς νομίσματα δ 𐅵, καθαρὰ νομίσματα υκζ 𐅵 κδ μη ϙϛ καὶ ἐκτὸς ῥοπῆς νομίσματα λε κδ ϙϛ καὶ ἀργυρίου δηναρίων μυριάδες Αϛ
r.68   φέρεται διὰ τοῦ προνοητοῦ Παγγουλεείου ὑπὲρ τῶν μηχανῶν κώμης Ταμπέμου σίτου καγκέλλῳ ἀρτάβαι ωιγ χοίνικες θ καὶ
r.69   σὺν ῥοπῇ νομίσματα οϛ ϛ κδ μη παρὰ κεράτια ρη εἰς νομίσματος 𐅵 δ, καθαρὰ νομίσματα οα 𐅷 κδ μη ὡς λοιπὰ λημμάτων
r.70   θ ἰνδικτίονος σίτου καγκέλλῳ ἀρτάβαι Βυλβ χοίνικες γ καὶ σὺν ῥοπῇ νομίσματα τνε 𐅷 η μη ϙϛ καὶ ἐκτὸς ῥοπῆς νομίσματα λε κδ ϙϛ
r.71   καὶ ἀργυρίου δηναρίων μυριάδες Αϛ κ[αὶ] ὑπὲρ τοῦ ἄλλου ἡμίσους μέρους τῆς μηχανῆς Ἴσιδος σίτου καγκέλλῳ ἀρτάβαι οζ 𐅵 δ καὶ νομίσματα ιβ
r.72   γίνονται ὁμοῦ σίτου καγκέλλωι ἀρτάβαι Βφθ [𐅵 δ] χοίνικες ζ καὶ σὺν ῥοπῇ νομίσματα τξζ 𐅷 η μη ϙϛ καὶ ἐκτὸς ῥοπῆς νομίσματα λε κδ ϙϛ
r.73   καὶ ἀργυρίου δηναρίων μυριάδες Αϛ .
r.74   ἐξ ὧν ἀνηλώθησαν ἐπὶ τῆς αὐτῆς θ ἰν[δ]ικτίονος·
r.75   εἰς τὰς ἁγίας ἐκκλησίας τῶν ἑξῆς κτημάτων κατὰ τὸ ἔθος σίτου καγκέλλῳ ἀρτάβαι κη 𐅵 δ χοίνικες ϛ νομίσματα γ 𐅵 γ ιβ παρὰ κεράτια …
r.76   ἐκκλησίαν Τριγύου ἀρτάβαι ϛ νόμισμα α παρὰ α, ἐκκλησίαν Νο[τ]ινοῦ ἀρτάβαι δ νομίσματος 𐅵 δ παρὰ 𐅵 δ
r.77   ἐκκλησίαν Πολέμωνος ἀρτάβαι ϛ νόμισμα α παρὰ α, εἰς τὸν Ἀρχάγ[γ]ελον Μιχαὴλ ἀρτάβαι β νομίσματος δ παρὰ δ
r.78   ἐκκλησίαν Πεστᾶ νομίσματος δ παρὰ δ, ἐκκλησίαν Ἡρακλᾶ ἀρτάβαι δ τὰ προκείμενα
r.79   τοῖς πλινθευταῖς πλινθεύουσι ἐν τοῖς ἑξῆς κτήμασιν ὑπὲρ μισθοῦ ὀπτῆς πλίνθου μυριάδων η σὺν μισθῷ οἰκοδόμων σίτου καγκέλλῳ ἀρτάβαι β νομίσματα β παρὰ κεράτια …
r.80   Πολέμωνος μυριάδες β, Τριγύου μυριάδες β Νοτινοῦ μυριάδες β Ἡρακλᾶ μυριάδες β τὰ προκείμενα
r.81   τῷ προνοητῇ λόγῳ ὀψωνίου κατὰ τὸ ἔθος σίτου καγκέλλῳ ἀρτάβαι κδ
r.82   τοῖς ἀπὸ Τριγύου ὑπὲρ δημοσίων τῆς ἀντικαταλλαγῆς τῶ[ν] ἀπὸ διαφόρων κατὰ τὸ ἔθος σίτου καγκέλλῳ ἀρτάβαι ιβ δ νομίσματος 𐅵 δ παρὰ …
r.83   τῷ ἐργοδιώκτῃ ἐποικίου Τριγύου ὑπὲρ μισθοῦ νομίσματα β παρὰ ζ καὶ τῷ ἐργοδιώκτῃ Νοτινοῦ νόμισμα α παρὰ γ 𐅵 γίνεται νομίσματα γ [παρὰ] ι 𐅵
r.84   συνεχωρήθη Σαρμάτῃ θρυοκοπεῖ ἀπὸ Νοτινοῦ ἐκ κ[ελε]ύσεως τοῦ μεγάλου κυρίου [ν]όμισμα α …
r.85   συνεχωρήθη τοῖς ἀπὸ Τριγύ[ου] [νομισμα ] …
r.86   Φλαουίοις Πραιιέκτῃ τῇ ὑπερφυεστάτῃ ὑπατίσσᾳ καὶ Ἀπίωνι τῷ πανευφήμῳ ὑπάτῳ γε[ουχοῦσι]
r.87   καὶ ἐνταῦθα τῇ λαμπρᾷ Ὀξυρυγχιτῶν πόλει. λόγος λημμάτων καὶ ἀναλωμάτων γε[νομένων διʼ ἐμοῦ]
r.88   Φιλοξένου προνοητοῦ Πατεμὴντ καὶ ἄλλων ἐξωτικῶν τόπων ἐ[π]ὶ [τ]ῆ[ς] ἐ[νάτης ἰνδικτίονος ] …
r.89   ἐδόθη διὰ τοῦ εὐδοκίμου Φοιβάμμωνος τραπεζίτου τῷ [χ]ρ[υσώνῃ ] …
r.90   ὑπὲρ κανονικῶν θ ἰνδικτίονος χρυσοῦ Ἀλεξανδρείας νομίσματα ἑκατόν, γίνονται χρυσοῦ Ἀλεξανδρείας νομίσματα ρ μόνα.
r.91   σξζ καὶ σλϛ Ἁθὺρ ἰνδικτίονος ἐνάτης.
r.92   ἐδόθη διὰ τοῦ εὐδοκίμου Φοιβάμμωνος τραπεζίτου τοῖς ιϛ συμμάχοις ἀπερχομένοις
r.93   ἐν Ἀλεξανδρείᾳ μετὰ τοῦ λαμπροτάτου Ἱερημίου χαρτουλαρίου τῆς Κυνῶν λόγῳ ἀναλω[μάτων]
r.94   ὑπὲρ ἡμερῶν λ χρυσοῦ Ἀλεξανδρείας νομίσματα τέσσερα γίνονται χρυσοῦ Ἀλεξανδρείας νομίσματα δ μόνα.
r.95   σξη καὶ σλζ Ἁθὺρ ἰνδικτίονος δεκάτης.

[TRANSLATION]
1     [From J]ohn son of Talios and [his] partners the orchard-keepers [from] … 30 solidi
2     [From] Stephanos and the heirs of Petronius the assistant, from the same city, of grain 34½¼ artabas, 5 choinikes, 3½¼ solidi
3     rent of the vegetable-plot of Palektor, 4 solidi
4     in the village of Senokomis thus:
5     From Elas the manager, from the same village of Senokomis, 8⅔ solidi, a twentieth and an eighth
6     From Pamouthios son of Pachechoous and Phoibammon, from the same village, 20⅔ solidi, a twentieth and an eighth
7     From Ammonios, from the same village, through John son of Melas, 8 solidi
8     From Pamouthios and Victor [and] John and Abraamios, from the same, 21 solidi
9     From Eras son of Anouthios, from the same village, 23½ solidi
10    From John son of Melas, from the same village, 18 solidi
11    and from the purchase-land of the village of Herakleios:
12    From Apollos son of Vitalios, from the same village, 8½¼ solidi
13    From Onnophrios, from the same village, 8½ solidi, 24
14    From Anouthios son of Phileos, through Abraamios, from the same village, 9 solidi
15    From John the presbyter and partners, through P… manager of Amatene, [solidi] … 1
16    From Apollos son of Onnophrios, from [the same village], 8¼ [solidi]
17    From Isak son of Papnouthios, another, [from the same] village, [solidi] …
18    From John katam…, from [the same village], [solidi …]
19    From Phoibammon the carpenter, through …os, [solidi] …
20    of the hamlet of Pesta …, [from] the purchase of the sons of Touanos.
21    From Sarmates and partners, through …, [from] the same estate of Pesta, of grain by the kankellon [artabas] …
22    From John the presbyter, through …, [from] the same …
23    [From] …tos the presbyter and partners, from Heraklas …, of grain by the kankellon 168¼ artabas, 7 choinikes, and [exclusive of the weighing-allowance] …
24    From … and Pamouthios, through Ataulos …, from the same, of grain 46 artabas, 8 choinikes, and exclusive of the weighing-allowance, 2 solidi, 3, 48, 96
25    From the same and aforesaid cultivators, [from the same] estate, exclusive of the weighing-allowance, [solidi] … 3, 24, 48, 96
26    From the same and aforesaid cultivators, on behalf of the price of tow and the contribution of poll(?), [exclusive of the weighing-allowance,] 1 solidus
27    From the same and aforesaid cultivators, on behalf of rent of the mill and rent of palm-trees, exclusive of the weighing-allowance, 1 solidus, 4
28    From the same and aforesaid cultivators, on behalf of the price of a sucking-pig, exclusive of the weighing-allowance, ½ solidus, 8, 48
29    From the same and aforesaid cultivators, on behalf of the fixed-rent of the plot, exclusive of the weighing-allowance, 7½ solidi
30    in the Southern (district) of Parorion.
31    From Isak and Theophilos and partners, from the hamlet of Lithine, exclusive of the weighing-allowance, 5 solidi, 6, 24
32    From John and partners, from the hamlet of Sophrosyne, exclusive of the weighing-allowance, 2½ solidi, 8
33    From Apollos and partners, from Pekte, exclusive of the weighing-allowance, 3 solidi, 3, 24, 96
34    From Asklas, from Pangyleos, exclusive of the weighing-allowance, 2 solidi, 12
35    in the village of Tampemou:
36    From Apollos, from the same village, of grain by the kankellon 70 artabas
37    From the heirs of Victor, from the wine-handlers, [through A]pollos the son, of grain by the kankellon 94 artabas, … choinikes, 6½ solidi, 3, 48
38    [From the heirs] of Gerontios, through Joseph the [weigh]er, of grain by the kankellon 30½ artabas
39    From Sion son of Elias the headman and John …, from the same village, of grain by the kankellon 16 artabas, 1 solidus, 24
40    From John and Papnouthios, [from] …enaipe, of grain by the kankellon 120 artabas, 3 solidi, 3
41    From Mousaios son of Isak and the heirs … [from] Ptycheos, of grain by the kankellon 7 artabas, ½ solidus
42    From the guild of the village-heads of [the village] …meos, ⅓ solidus
43    From the heirs of Gerontios, through [Joseph] the weigher, 24 solidi
44    From apa Hor son of Joseph, through …, [from the same] village, of grain by the kankellon [artabas] …
45    [From] the same heirs [of Gerontios, through the sa]me weigher, of grain by the kankellon [artabas] …
46    From the same heirs of Victor, on behalf of the great estate, ⅙ solidus
47    From the guild of the cultivators from the same (place), on behalf of rent of the plots
48    planted in vine in the machine of Tepot, with weighing-allowance, 24 solidi less 108 (keratia)
49    From the guild of the cultivators of the hamlet of Satyros, of grain by the kankellon 204 artabas
50    From Anoup, from the same hamlet of Satyros, of grain by the kankellon 140 artabas
51    From the cultivators, on behalf of the machine of the Tanners, of grain by the kankellon 72 artabas
52    From those of the estate of Palidos, on behalf of the machine of Isis, of grain by the kankellon 135¼ artabas, 22½¼ solidi
53    From the orchard-keeper of the same estate of Palidos, on behalf of rent of the orchard,
54    7 solidi, out of which on behalf of fodder of the orchard, 13 arourai of grass,
55    9 arourai … of the contribution, on behalf of each aroura ½ solidus, 24, 48, 96, making 5 solidi, 8, 48, 96
56    remainder 1½ solidus, 3, 96; out of which on behalf of wages of the orchard, of grain by the kankellon 7½ artabas, of the
57    13½ artabas, 1 solidus, of Alexandrian standard ½ solidus, 24, 96, those at private rate ½ solidus, 12, 96, remainder
58    on behalf of rent of the orchard 1 solidus, 4, making 1 solidus, 4
59    Total of receipts of the same ninth indiction: of grain by measure 2272¼ artabas, 8 choinikes, and
60    by the kankellon 901½ artabas, 4 choinikes, and with weighing-allowance 472⅔ solidi, 8, 96, less 108 keratia, and exclusive of weighing-allowance 35 solidi, 24, 96, and
61    of silver, of denarii 16 myriads; out of which there are remitted [on behalf of] Nesos Lachanias, those also brought into the
62    account of Victor administrator of Phakra, of grain by measure 34½¼ artabas and 6¼ solidi together with the plot
63    of Karyophylakes, and on behalf of the gardens of Nesos Lachanias 30 solidi, and on behalf of
64    the little garden of Palektor 4 solidi, making, of the remission, of grain by the kankellon 34½¼ artabas, 5 choinikes, and
65    with weighing-allowance 40½¼ solidi; remaining of receipts of the 9th indiction, of grain by measure 2038 artabas, which by the kankellon 2343½ artabas, 8 choinikes, and
66    others by the kankellon 901½ artabas, 4 choinikes, making of grain by the kankellon 3245¼ artabas, 2 choinikes, and with weighing-allowance 432 solidi, 24, 48, 96, less 108 keratia
67    into 4½ solidi, net 427½ solidi, 24, 48, 96, and exclusive of weighing-allowance 35 solidi, 24, 96, and of silver, of denarii 16 myriads
68    There is carried over through the administrator of Pangouleeion, on behalf of the machines of the village of Tampemou, of grain by the kankellon 813 artabas, 9 choinikes, and
69    with weighing-allowance 76 solidi, 6, 24, 48, less 108 keratia, into ½ solidus, 4, net 71⅔ solidi, 24, 48, as remaining of receipts
70    of the 9th indiction, of grain by the kankellon 2432 artabas, 3 choinikes, and with weighing-allowance 355⅔ solidi, 8, 48, 96, and exclusive of weighing-allowance 35 solidi, 24, 96
71    and of silver, of denarii 16 myriads; and on behalf of the other half-share of the machine of Isis, of grain by the kankellon 77½¼ artabas and 12 solidi
72    making altogether of grain by the kankellon 2509[½¼] artabas, 7 choinikes, and with weighing-allowance 367⅔ solidi, 8, 48, 96, and exclusive of weighing-allowance 35 solidi, 24, 96
73    and of silver, of denarii 16 myriads.
74    Out of which there were expended in the same 9th indiction:
75    to the holy churches of the following estates, according to custom, of grain by the kankellon 28½¼ artabas, 6 choinikes, 3½ solidi, 3, 12, less keratia …
76    the church of Trigyos 6 artabas, 1 solidus less 1; the church of Notinos 4 artabas, ½ solidus, 4, less ½, 4
77    the church of Polemon 6 artabas, 1 solidus less 1; to the Archangel Michael 2 artabas, ¼ solidus less 4
78    the church of Pesta ¼ solidus less 4; the church of Heraklas 4 artabas, the aforesaid
79    to the brick-makers making bricks in the following estates, on behalf of wages of fired brick, 8 myriads, together with wages of builders, of grain by the kankellon 2 artabas, 2 solidi less keratia …
80    Polemon 2 myriads, Trigyos 2 myriads, Notinos 2 myriads, Heraklas 2 myriads, the aforesaid
81    to the administrator, by way of salary, according to custom, of grain by the kankellon 24 artabas
82    to those of Trigyos, on behalf of public taxes of the exchange of those from various (sources), according to custom, of grain by the kankellon 12¼ artabas, ½ solidus, 4, less …
83    to the work-overseer of the hamlet of Trigyos, on behalf of wages, 2 solidi less 7, and to the work-overseer of Notinos 1 solidus less 3½, making 3 solidi [less] 10½
84    there was granted to Sarmates the reed-cutter from Notinos, by command of the great lord, 1 solidus …
85    there was granted to those of Trigyos, [solidi] …
86    To the Flavii Praiecta the most magnificent consul's-lady and Apion the all-praiseworthy consul, landowners,
87    and here also in the splendid city of the Oxyrhynchites. Account of receipts and expenditures made [through me]
88    Philoxenos administrator of Patement and other outside places in the ninth indiction …
89    There was given through the reputable Phoibammon the banker to the gold-collector …
90    on behalf of canonical (taxes) of the 9th indiction, of gold of Alexandria 100 solidi, making of gold of Alexandria 100 solidi only.
91    267 and 236, Hathyr, of the ninth indiction.
92    There was given through the reputable Phoibammon the banker to the 16 attendants departing
93    to Alexandria with the most illustrious Hieremias chartulary of Kynon, by way of expenditures
94    on behalf of 30 days, of gold of Alexandria four solidi, making of gold of Alexandria 4 solidi only.
95    268 and 237, Hathyr, of the tenth indiction.
